route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
route_3,agency_1,"102","",,3,,,
route_5,agency_1,"105","",,3,,,
route_7,agency_1,"107","",,3,,,
route_11,agency_1,"112","",,3,,,
route_15,agency_1,"120","",,3,,,
route_16,agency_1,"122","",,3,,,
route_17,agency_1,"123","",,3,,,
route_18,agency_1,"124","",,3,,,
route_19,agency_1,"125","",,3,,,
route_20,agency_1,"127","",,3,,,
route_21,agency_1,"128","",,3,,,
route_23,agency_1,"130","",,3,,,
route_25,agency_1,"133","",,3,,,
route_30,agency_1,"155","",,3,,,
route_32,agency_1,"153","",,3,,,
route_39,agency_1,"262","",,3,,,
route_55,agency_1,"148","",,3,,,
route_61,agency_1,"307","",,3,,,
route_62,agency_1,"337","",,3,,,
route_68,agency_1,"209","",,3,,,
route_69,agency_1,"210","",,3,,,
route_70,agency_1,"211","",,3,,,
route_71,agency_1,"212","",,3,,,
route_72,agency_1,"213","",,3,,,
route_73,agency_1,"214","",,3,,,
route_74,agency_1,"215","",,3,,,
route_75,agency_1,"217","",,3,,,
route_76,agency_1,"218","",,3,,,
route_77,agency_1,"220","",,3,,,
route_78,agency_1,"221","",,3,,,
route_79,agency_1,"222","",,3,,,
route_80,agency_1,"223","",,3,,,
route_81,agency_1,"224","",,3,,,
route_82,agency_1,"225","",,3,,,
route_84,agency_1,"227","",,3,,,
route_85,agency_1,"229","",,3,,,
route_86,agency_1,"230","",,3,,,
route_87,agency_1,"232","",,3,,,
route_88,agency_1,"233","",,3,,,
route_89,agency_1,"235","",,3,,,
route_91,agency_1,"238","",,3,,,
route_92,agency_1,"239","",,3,,,
route_93,agency_1,"240","",,3,,,
route_94,agency_1,"242","",,3,,,
route_95,agency_1,"243","",,3,,,
route_96,agency_1,"244","",,3,,,
route_97,agency_1,"245","",,3,,,
route_98,agency_1,"247","",,3,,,
route_99,agency_1,"248","",,3,,,
route_100,agency_1,"249","",,3,,,
route_101,agency_1,"250","",,3,,,
route_103,agency_1,"253","",,3,,,
route_104,agency_1,"255","",,3,,,
route_105,agency_1,"257","",,3,,,
route_106,agency_1,"258","",,3,,,
route_107,agency_1,"259","",,3,,,
route_108,agency_1,"260","",,3,,,
route_109,agency_1,"263","",,3,,,
route_110,agency_1,"265","",,3,,,
route_111,agency_1,"267","",,3,,,
route_112,agency_1,"268","",,3,,,
route_113,agency_1,"269","",,3,,,
route_114,agency_1,"270","",,3,,,
route_115,agency_1,"273","",,3,,,
route_116,agency_1,"275","",,3,,,
route_117,agency_1,"277","",,3,,,
route_118,agency_1,"278","",,3,,,
route_119,agency_1,"280","",,3,,,
route_120,agency_1,"283","",,3,,,
route_121,agency_1,"285","",,3,,,
route_124,agency_1,"297","",,3,,,
route_125,agency_1,"301","",,3,,,
route_126,agency_1,"304","",,3,,,
route_127,agency_1,"293","",,3,,,
route_128,agency_1,"405","",,3,,,
route_129,agency_1,"422","",,3,,,
route_130,agency_1,"424","",,3,,,
route_133,agency_1,"482","",,3,,,
route_135,agency_1,"502","",,3,,,
route_136,agency_1,"503","",,3,,,
route_137,agency_1,"121","",,3,,,
