trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_2_trip_2_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_3_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_2_trip_4_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_5_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_2_trip_6_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_7_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_2_trip_8_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_9_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_2_trip_10_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_11_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_2_trip_12_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_13_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_2_trip_14_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_15_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_2_trip_16_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_17_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_2_trip_18_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_19_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_2_trip_20_service_1,route_3,service_1,Bielany,"",0,block_2,shape_6254,
block_2_trip_21_service_1,route_3,service_1,Krowodrza Górka P+R,"",1,block_2,shape_6256,
block_11_trip_2_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_3_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_4_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_5_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_6_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_7_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_8_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_9_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_10_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_11_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_12_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_13_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_14_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_15_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_16_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_17_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_18_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_19_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_20_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_21_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_22_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_23_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_24_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_25_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_26_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_27_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_28_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_29_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_30_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_31_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_32_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_33_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_34_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_35_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_36_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_37_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_38_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_11_trip_39_service_1,route_7,service_1,Soboniowice,"",1,block_11,shape_2834,
block_11_trip_40_service_1,route_7,service_1,Zajezdnia Wola Duchacka,"",0,block_11,shape_2833,
block_17_trip_2_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_3_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_4_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_5_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_6_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_7_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_8_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_9_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_10_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_11_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_12_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_13_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_14_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_15_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_16_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_17_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_18_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_19_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_20_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_21_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_22_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_23_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_24_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
block_17_trip_25_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_17,shape_2858,
block_17_trip_26_service_1,route_11,service_1,Tyniec Kamieniołom,"",1,block_17,shape_2859,
