trip_id,stop_id,arrival_time,departure_time,timestamp
block_136_trip_14_service_1,stop_2108_333803,2025-04-28 20:43:09,2025-04-28 20:43:09,2025-04-28 20:42:49.913810
block_136_trip_14_service_1,stop_1200_280801,2025-04-28 20:44:09,2025-04-28 20:44:09,2025-04-28 20:42:49.913810
block_136_trip_14_service_1,stop_432_61003,2025-04-28 20:47:09,2025-04-28 20:47:09,2025-04-28 20:42:49.913810
block_136_trip_14_service_1,stop_890_125302,2025-04-28 20:50:09,2025-04-28 20:50:09,2025-04-28 20:42:49.913810
block_136_trip_14_service_1,stop_891_125404,2025-04-28 20:52:09,2025-04-28 20:52:09,2025-04-28 20:42:49.913810
block_136_trip_14_service_1,stop_446_62902,2025-04-28 20:54:09,2025-04-28 20:54:09,2025-04-28 20:42:49.913810
block_136_trip_14_service_1,stop_503_71702,2025-04-28 20:55:09,2025-04-28 20:55:09,2025-04-28 20:42:49.913810
block_136_trip_14_service_1,stop_501_71505,2025-04-28 20:57:09,2025-04-28 20:57:09,2025-04-28 20:42:49.913810
block_136_trip_14_service_1,stop_502_71604,2025-04-28 20:58:09,,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_502_71604,,2025-04-28 21:28:00,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_501_71503,2025-04-28 21:29:00,2025-04-28 21:29:00,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_446_62903,2025-04-28 21:31:00,2025-04-28 21:31:00,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_891_125401,2025-04-28 21:32:00,2025-04-28 21:32:00,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_890_125301,2025-04-28 21:34:00,2025-04-28 21:34:00,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_438_61902,2025-04-28 21:36:00,2025-04-28 21:36:00,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_432_61006,2025-04-28 21:38:00,2025-04-28 21:38:00,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_1200_280802,2025-04-28 21:39:00,2025-04-28 21:39:00,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_2108_333804,2025-04-28 21:41:00,2025-04-28 21:41:00,2025-04-28 20:42:49.913810
block_136_trip_15_service_1,stop_240_32602,2025-04-28 21:42:00,2025-04-28 21:42:00,2025-04-28 20:42:49.913810
block_332_trip_23_service_1,stop_325_44872,2025-04-28 20:42:34,2025-04-28 20:42:34,2025-04-28 20:42:49.913810
block_332_trip_23_service_1,stop_338_46802,2025-04-28 20:43:34,2025-04-28 20:43:34,2025-04-28 20:42:49.913810
block_332_trip_23_service_1,stop_339_46902,2025-04-28 20:44:34,2025-04-28 20:44:34,2025-04-28 20:42:49.913810
block_332_trip_23_service_1,stop_340_47002,2025-04-28 20:45:34,2025-04-28 20:45:34,2025-04-28 20:42:49.913810
block_332_trip_23_service_1,stop_341_47102,2025-04-28 20:46:34,2025-04-28 20:46:34,2025-04-28 20:42:49.913810
block_332_trip_23_service_1,stop_354_48602,2025-04-28 20:48:34,2025-04-28 20:48:34,2025-04-28 20:42:49.913810
