vehicle_id,trip_id,route_id,latitude,longitude,bearing,speed,timestamp,stop_id,stop_sequence,current_date,day
8,block_98_trip_7_service_1,,50.096221923828125,19.930416107177734,90.0,0.0,2025-10-06 10:03:32,stop_1018_252702,1,2025-10-06,1
9,block_167_trip_7_service_1,,50.03668212890625,19.940139770507812,180.0,0.0,2025-10-06 10:03:23,stop_432_61003,16,2025-10-06,1
12,block_99_trip_6_service_1,,50.08055114746094,19.91840362548828,315.0,0.0,2025-10-06 10:03:28,stop_1535_306901,20,2025-10-06,1
14,block_101_trip_4_service_1,,50.05089569091797,19.931041717529297,315.0,0.0,2025-10-06 10:03:29,stop_240_32602,13,2025-10-06,1
15,block_102_trip_6_service_1,,50.016910552978516,19.992048263549805,315.0,0.0,2025-10-06 10:03:33,stop_450_63404,3,2025-10-06,1
17,block_103_trip_5_service_1,,50.00627136230469,20.011146545410156,90.0,0.0,2025-10-06 10:03:23,stop_1368_304402,1,2025-10-06,1
18,block_104_trip_6_service_1,,50.02629470825195,19.97371482849121,90.0,0.0,2025-10-06 10:03:26,stop_443_62503,23,2025-10-06,1
19,block_138_trip_4_service_1,,50.07681655883789,19.88916778564453,0.0,0.0,2025-10-06 10:03:30,stop_105_13702,17,2025-10-06,1
21,block_476_trip_4_service_1,,50.1046028137207,19.963714599609375,0.0,0.0,2025-10-06 10:03:24,stop_3077_378504,20,2025-10-06,1
22,block_478_trip_6_service_1,,50.059913635253906,19.924999237060547,0.0,0.0,2025-10-06 10:03:26,stop_1654_314105,11,2025-10-06,1
24,block_479_trip_6_service_1,,50.02597427368164,19.97659683227539,315.0,0.0,2025-10-06 10:03:32,stop_432_61006,7,2025-10-06,1
28,block_480_trip_4_service_1,,50.0126953125,20.015625,180.0,0.0,2025-10-06 10:03:31,stop_1063_258102,22,2025-10-06,1
29,block_482_trip_6_service_1,,50.026885986328125,19.969478607177734,90.0,0.0,2025-10-06 10:03:31,stop_447_63009,16,2025-10-06,1
30,block_483_trip_5_service_1,,50.05854797363281,19.92534637451172,135.0,0.0,2025-10-06 10:03:29,stop_1654_314104,13,2025-10-06,1
31,block_484_trip_6_service_1,,50.10512924194336,19.963680267333984,0.0,0.0,2025-10-06 10:03:29,stop_3077_378504,20,2025-10-06,1
32,block_162_trip_4_service_1,,50.067317962646484,19.9195499420166,270.0,0.0,2025-10-06 10:03:23,stop_58_8202,20,2025-10-06,1
35,block_165_trip_4_service_1,,50.0152702331543,20.02312469482422,90.0,0.0,2025-10-06 10:03:29,stop_1748_317502,28,2025-10-06,1
37,block_166_trip_6_service_1,,50.020782470703125,19.984479904174805,135.0,0.0,2025-10-06 10:03:30,stop_450_63403,23,2025-10-06,1
38,block_168_trip_5_service_1,,50.06654357910156,19.920555114746094,90.0,0.0,2025-10-06 10:03:31,stop_57_8102,9,2025-10-06,1
39,block_169_trip_7_service_1,,50.08674621582031,19.9088191986084,180.0,0.0,2025-10-06 10:03:31,stop_36_5401,1,2025-10-06,1
